Constituency_Name,Constituency_Number,Leading_Candidate_Name,Leading_Party,Trailing_Candidate_Name,Trailing_Party,Margin
ARIANKUPPAM,19,R. BASKAR @ DATCHANAMOURTTY,All India N.R. Congress,T. DJEAMOURTHY,Indian National Congress,6418
BAHOUR,23,R SENTHILKUMAR,Dravida Munnetra Kazhagam,N DHANAVELOU,All India N.R. Congress,211
EMBALAM,21,U LAKSHMIKANDHAN,All India N.R. Congress,M CANDASSAMY,Indian National Congress,2240
INDIRA NAGAR,8,V. AROUMOUGAME @ AKD,All India N.R. Congress,M. Kannan,Indian National Congress,18531
KADIRGAMAM,7,K.S.P @ S. RAMESH,All India N.R. Congress,P. Selvanadane,Indian National Congress,12246
KALAPET,12,P.M.L. KALYANASUNDARAM,Bharatiya Janata Party,A. SENTHIL @ RAMESH,Independent,3508
KAMARAJ NAGAR,10,A. JOHNKUMAR,Bharatiya Janata Party,M.O.H.F. SHAJAHAN,Indian National Congress,7229
KARAIKAL NORTH,26,P.R.N. THIRUMURUGAN,All India N.R. Congress,A.V. SUBRAMANIAN,Indian National Congress,135
KARAIKAL SOUTH,27,A.M.H. NAZIM,Dravida Munnetra Kazhagam,K.A.U.ASSANA MARECAR,All India Anna Dravida Munnetra Kazhagam,12034
LAWSPET,11,M. VAITHIANATHAN,Indian National Congress,V. SAMINATHAN,Bharatiya Janata Party,5701
MAHE,29,RAMESH PARAMBATH,Indian National Congress,N. HARIDASAN MASTER,Independent,300
MANAVELY,20,EMBALAM SELVAM @ R.SELVAM,Bharatiya Janata Party,R. K. R. ANANTHARAMAN,Indian National Congress,8132
MANGALAM,4,DJEACOUMAR .C,All India N.R. Congress,SUN. KUMARAVEL,Dravida Munnetra Kazhagam,2751
MANNADIPET,1,A. NAMASSIVAYAM,Bharatiya Janata Party,A. KRISHNAN @ A.K. KUMAR,Dravida Munnetra Kazhagam,2750
MUDALIARPET,18,L. SAMBATH,Dravida Munnetra Kazhagam,A. BASKAR,All India Anna Dravida Munnetra Kazhagam,4179
MUTHIALPET,13,J. PRAKASH KUMAR,Independent,VAIYAPURI MANIKANDAN,All India Anna Dravida Munnetra Kazhagam,934
NEDUNGADU,24,CHANDIRA PRIYANGA,All India N.R. Congress,A. MARIMUTHU,Indian National Congress,2214
NELLITHOPE,17,RICHARDS JOHNKUMAR,Bharatiya Janata Party,V. CARTIGUEYANE,Dravida Munnetra Kazhagam,496
NERAVY-T.R.PATTINAM,28,M.NAGATHIYAGARAJAN,Dravida Munnetra Kazhagam,V.M.C.S.MANOHAREN,Bharatiya Janata Party,5511
NETTAPAKKAM,22,P RAJAVELU,All India N.R. Congress,V VIZEAVENY,Indian National Congress,6638
ORLEAMPETH,16,G. NEHRU @ KUPPUSAMY,Independent,S. GOPAL,Dravida Munnetra Kazhagam,2093
OUPALAM,15,ANNIBAL KENNEDY,Dravida Munnetra Kazhagam,A. ANBALAGAN,All India Anna Dravida Munnetra Kazhagam,4780
OUSSUDU,3,AK SAI J SARAVANAN KUMAR,Bharatiya Janata Party,P. KARTHIKEYAN,Indian National Congress,1880
OZHUKARAI,6,M. Sivasankar,Independent,N.G. PANNIR SELVAM,All India N.R. Congress,819
RAJ BHAVAN,14,K. LAKSHMINARAYANAN,All India N.R. Congress,S.P. SIVAKUMAR,Dravida Munnetra Kazhagam,3732
THATTANCHAVADY,9,N. Rangasamy,All India N.R. Congress,K. SETHU @ SETHU SELVAM,Communist Party of India,5456
THIRUBHUVANAI,2,P. ANGALANE,Independent,B. KOBIGA,All India N.R. Congress,2359
THIRUNALLAR,25,PR. SIVA,Independent,S. RAJASEKARAN,Bharatiya Janata Party,1380
VILLIANUR,5,R. SIVA,Dravida Munnetra Kazhagam,S.V. SUGUMARAN,All India N.R. Congress,6950
YANAM,30,GOLLAPALLI SRINIVAS ASHOK,Independent,N.RANGASAMY,All India N.R. Congress,655
